"cls_final","subject_name","V1","V2"
"cls_236","Medicine",135.129698722743,205.722248367369
"cls_237","Biochemistry, Genetics and Molecular Biology",128.798347994528,206.564478889342
"cls_238","Environmental Science",120.532939783244,213.421289333237
"cls_239","Biochemistry, Genetics and Molecular Biology",136.805449573582,192.744027474673
"cls_24","Chemical Engineering",138.130510932413,227.809410762208
"cls_240","Medicine",122.378645354146,187.853199444928
"cls_241","Materials Science",135.70300337512,209.392420403118
"cls_242","Biochemistry, Genetics and Molecular Biology",132.208723138625,211.342201295108
"cls_243","Medicine",138.723204798392,196.685236371538
"cls_244","Medicine",125.121647144619,206.008509240617
"cls_245","Medicine",138.942344679797,186.186827190316
"cls_246","Medicine",135.663089097781,202.638030913619
"cls_247","Chemistry",136.374946061849,207.142626036169
"cls_248","Environmental Science",114.953808775994,208.058689290577
"cls_249","Medicine",129.589642167651,189.421265738094
"cls_25","Physics and Astronomy",114.870577387953,233.32278255666
"cls_250","Medicine",125.788839517694,187.496060953366
"cls_251","Biochemistry, Genetics and Molecular Biology",140.454570752553,206.130284389828
"cls_252","Medicine",118.505339301429,198.049069933781
"cls_253","Neuroscience",120.670888247992,206.012289627606
"cls_254","Computer Science",116.02126095195,204.069334135831
"cls_255","Medicine",140.543769480395,195.047043835984
"cls_256","Biochemistry, Genetics and Molecular Biology",137.028119339721,194.832282053538
"cls_257","Physics and Astronomy",127.563180164948,222.190599013636
"cls_258","Materials Science",132.005802118957,229.430896210369
"cls_259","Materials Science",136.220776740613,219.04230822931
"cls_26","Biochemistry, Genetics and Molecular Biology",129.81068005393,186.562556990524
"cls_260","Medicine",133.17033624317,202.446317438337
"cls_261","Computer Science",113.637792480369,204.48153147742
"cls_262","Chemistry",133.426076573281,223.021757441518
"cls_263","Medicine",127.170782368908,192.601103288747
"cls_264","Agricultural and Biological Sciences",133.615440132546,194.240680239453
"cls_265","Medicine",123.334223946456,190.663177363808
"cls_266","Medicine",131.500923042012,187.288619448102
"cls_267","Medicine",138.300033733123,200.461313406453
"cls_268","Medicine",125.628897899276,198.74753613613
"cls_269","Medicine",127.270389919022,213.607652851831
"cls_27","Medicine",139.741278160217,194.798951696163
"cls_270","Biochemistry, Genetics and Molecular Biology",134.295290422079,193.03951959125
"cls_271","Physics and Astronomy",102.140985748128,226.008047549422
"cls_272","Medicine",129.645165750042,193.726961095723
